Breach Date,Name,Password
2077/10/18,Lucy,x6tnBEr4&i
2077/08/25,Dorio,2dcMJKXt)N
2077/08/31,Maine,n0ge%T4p&S
2077/01/06,Rebecca,%C8JwS9&lB
2077/07/20,Falco,&iqPcsuS_4
2077/10/11,Faraday,&9dIoC(VC2
2077/04/18,Aldo,*Nd$U5bc@#
2077/10/14,James Norris,2@f0TacSXn
2077/05/13,Adam Smasher,#*Q2Eoot0b
2077/03/02,Evans,@9IUPOEv6T
2077/09/08,Katsuo Tanaka,!8E9EwIXee
2077/02/07,Marcus,4+5bF#qhje
2077/08/24,Yumiko,p7Q#Cn$m#I
2077/04/30,Maxim,3_6mR*Kaq8
2077/07/26,Arasaka Academy,l(60Io(+@$
2077/04/16,David Martinez,W)ZL0X1F9w
2077/12/08,Gloria Martinez,y!HS4Fe$1Q
2077/03/21,Doc,tr1yDNDJA&
2077/12/20,Jimmy,%!3QXOhcJ@
2077/06/01,Adam Smasher,sggfsh3Yd3_%T5
2077/06/15,Adam Smasher,sdgkeash9ebc9U1x
2077/07/01,Adam Smasher,dgfmgshN0Qm324S
2077/07/15,Adam Smasher,smgegeash1v8TS4fH
2077/08/01,Adam Smasher,sekfgashVG5170Tz
2077/08/15,Adam Smasher,seggh230eW8F6
2077/09/01,Adam Smasher,smatseghiFMK25v9
2077/09/15,Adam Smasher,srgsh1P7A2KuU
2077/10/01,Adam Smasher,sm42shn1RMV0y4
2077/10/15,Adam Smasher,sgeghNj50Fp5G
2077/11/01,Adam Smasher,wrtwtashc0Gr25Jr
2077/11/15,Adam Smasher,smae39fvDA83w3f
2077/12/01,Adam Smasher,??????????????
